id,capacidad,estilo,servicios_tipo
332,97,Baladas,bar
333,178,Baladas,bar
334,37,Salsa,bar
335,104,Salsa,bar
336,39,Baladas,bar
337,25,Salsa,bar
338,110,Jazz,bar
339,122,Jazz,bar
340,62,Crossover,bar
341,163,Baladas,bar
342,113,Bachata,bar
343,125,Salsa,bar
344,119,Bachata,bar
345,177,Salsa,bar
346,13,Jazz,bar
347,63,Bachata,bar
348,15,Bachata,bar
349,20,Salsa,bar
350,144,Jazz,bar
351,77,Baladas,bar
352,176,Baladas,bar
353,83,Salsa,bar
354,109,Baladas,bar
355,22,Baladas,bar
356,57,Baladas,bar
357,110,Crossover,bar
358,175,Crossover,bar
359,47,Bachata,bar
360,138,Baladas,bar
361,54,Bachata,bar
362,186,Bachata,bar
363,193,Salsa,bar
364,41,Salsa,bar
365,24,Salsa,bar
366,153,Salsa,bar
367,186,Jazz,bar
368,52,Bachata,bar
369,154,Bachata,bar
370,149,Jazz,bar
371,67,Crossover,bar
372,158,Jazz,bar
373,168,Baladas,bar
374,132,Jazz,bar
375,27,Crossover,bar
376,16,Baladas,bar
377,127,Crossover,bar
378,31,Baladas,bar
379,186,Crossover,bar
380,144,Bachata,bar
381,149,Salsa,bar
382,177,Crossover,bar
383,61,Salsa,bar
384,164,Baladas,bar
385,182,Crossover,bar
386,100,Bachata,bar
387,177,Jazz,bar
388,122,Salsa,bar
389,133,Crossover,bar
390,143,Crossover,bar
391,25,Jazz,bar
392,137,Crossover,bar
393,190,Baladas,bar
394,154,Crossover,bar
395,131,Baladas,bar
396,169,Bachata,bar
397,63,Salsa,bar
398,60,Crossover,bar
399,12,Crossover,bar
400,180,Baladas,bar
401,189,Jazz,bar
402,185,Crossover,bar
403,15,Salsa,bar
404,67,Baladas,bar
405,12,Baladas,bar
406,96,Crossover,bar
407,106,Bachata,bar
408,175,Salsa,bar
409,41,Crossover,bar
410,182,Jazz,bar
411,102,Bachata,bar
412,141,Crossover,bar
413,169,Salsa,bar
414,51,Salsa,bar
415,166,Jazz,bar
416,199,Jazz,bar
417,160,Jazz,bar
418,70,Bachata,bar
419,42,Baladas,bar
420,143,Baladas,bar
421,114,Jazz,bar
422,109,Crossover,bar
423,196,Salsa,bar
424,185,Bachata,bar
425,42,Jazz,bar
426,101,Salsa,bar
427,34,Bachata,bar
428,135,Crossover,bar
429,44,Baladas,bar
430,112,Salsa,bar
431,25,Bachata,bar
432,147,Salsa,bar
433,137,Salsa,bar
434,124,Salsa,bar
435,107,Baladas,bar
436,159,Baladas,bar
437,171,Jazz,bar
438,81,Salsa,bar
439,157,Baladas,bar
440,146,Jazz,bar
441,67,Crossover,bar
442,18,Jazz,bar
443,98,Jazz,bar
444,67,Baladas,bar
445,151,Crossover,bar
446,138,Bachata,bar
447,39,Jazz,bar
448,28,Bachata,bar
449,92,Crossover,bar
450,50,Bachata,bar
451,85,Crossover,bar
452,53,Jazz,bar
453,123,Bachata,bar
454,120,Bachata,bar
455,196,Baladas,bar
456,92,Jazz,bar
457,66,Jazz,bar
458,175,Baladas,bar
459,171,Salsa,bar
460,49,Crossover,bar
461,191,Bachata,bar
462,102,Baladas,bar
463,52,Salsa,bar
464,194,Jazz,bar
465,46,Jazz,bar
466,134,Bachata,bar
467,182,Salsa,bar
468,14,Baladas,bar
469,102,Jazz,bar
470,98,Bachata,bar
471,153,Bachata,bar
472,173,Crossover,bar
473,79,Crossover,bar
474,79,Jazz,bar
475,178,Salsa,bar
476,126,Crossover,bar
477,108,Jazz,bar
478,28,Crossover,bar
479,19,Salsa,bar
480,31,Crossover,bar
481,68,Bachata,bar
482,132,Crossover,bar
483,21,Salsa,bar
484,142,Bachata,bar
485,94,Salsa,bar
486,14,Baladas,bar
487,73,Jazz,bar
488,174,Baladas,bar
489,99,Crossover,bar
490,146,Baladas,bar
491,157,Baladas,bar
492,35,Bachata,bar
493,164,Crossover,bar
494,32,Baladas,bar
495,133,Baladas,bar
496,39,Salsa,bar
497,31,Baladas,bar
498,96,Jazz,bar
499,92,Crossover,bar
500,194,Jazz,bar
501,48,Salsa,bar
502,111,Salsa,bar
503,173,Bachata,bar
504,186,Bachata,bar
505,115,Jazz,bar
506,93,Bachata,bar
507,103,Crossover,bar
508,141,Salsa,bar
509,150,Salsa,bar
510,100,Baladas,bar
511,108,Crossover,bar
512,146,Jazz,bar
513,93,Jazz,bar
514,77,Baladas,bar
515,41,Crossover,bar
516,50,Bachata,bar
517,67,Salsa,bar
518,104,Crossover,bar
519,179,Baladas,bar
520,61,Bachata,bar
521,125,Crossover,bar
522,118,Salsa,bar
523,63,Bachata,bar
524,186,Crossover,bar
525,104,Salsa,bar
526,94,Jazz,bar
527,140,Bachata,bar
528,47,Crossover,bar
529,44,Bachata,bar
530,95,Baladas,bar
531,68,Crossover,bar
532,16,Jazz,bar
533,98,Salsa,bar
534,121,Jazz,bar
535,170,Crossover,bar
536,33,Salsa,bar
537,193,Bachata,bar
538,63,Jazz,bar
539,154,Jazz,bar
540,129,Salsa,bar
541,135,Crossover,bar
542,125,Bachata,bar
543,188,Salsa,bar
544,36,Crossover,bar
545,47,Crossover,bar
546,100,Crossover,bar
547,93,Baladas,bar
548,43,Crossover,bar
549,75,Crossover,bar
550,21,Salsa,bar
551,47,Crossover,bar
552,197,Crossover,bar
553,100,Baladas,bar
554,161,Baladas,bar
555,34,Bachata,bar
556,93,Crossover,bar
557,164,Baladas,bar
558,110,Bachata,bar
559,60,Jazz,bar
560,80,Baladas,bar
561,60,Jazz,bar
562,92,Jazz,bar
563,147,Bachata,bar
564,53,Crossover,bar
565,24,Bachata,bar
566,50,Crossover,bar
567,192,Salsa,bar
568,129,Bachata,bar
569,23,Jazz,bar
570,158,Salsa,bar
571,51,Bachata,bar
572,72,Crossover,bar
573,103,Baladas,bar
574,73,Salsa,bar
575,106,Crossover,bar
576,127,Crossover,bar
577,105,Crossover,bar
578,121,Bachata,bar
579,14,Crossover,bar
580,13,Salsa,bar
581,142,Salsa,bar
582,167,Bachata,bar
583,79,Baladas,bar
584,48,Crossover,bar
585,174,Bachata,bar
586,40,Baladas,bar
587,153,Jazz,bar
588,99,Baladas,bar
589,178,Bachata,bar
590,179,Salsa,bar
591,152,Bachata,bar
592,34,Crossover,bar
593,187,Crossover,bar
594,11,Bachata,bar
595,92,Bachata,bar
596,12,Salsa,bar
597,120,Crossover,bar
598,198,Bachata,bar
599,90,Baladas,bar
600,73,Baladas,bar
601,126,Crossover,bar
602,59,Crossover,bar
603,38,Crossover,bar
604,156,Crossover,bar
605,148,Crossover,bar
606,23,Baladas,bar
607,87,Bachata,bar
608,60,Salsa,bar
609,85,Crossover,bar
610,196,Salsa,bar
611,135,Crossover,bar
612,178,Salsa,bar
613,181,Baladas,bar
614,152,Salsa,bar
615,151,Bachata,bar
616,181,Crossover,bar
617,180,Jazz,bar
618,120,Salsa,bar
619,51,Salsa,bar
620,146,Jazz,bar
621,71,Jazz,bar
622,115,Salsa,bar
623,69,Jazz,bar
624,123,Jazz,bar
625,81,Jazz,bar
626,54,Crossover,bar
627,32,Bachata,bar
628,179,Salsa,bar
629,102,Bachata,bar
630,184,Baladas,bar
631,21,Salsa,bar
632,22,Salsa,bar
633,142,Salsa,bar
634,103,Bachata,bar
635,131,Crossover,bar
636,166,Salsa,bar
637,168,Jazz,bar
638,191,Crossover,bar
639,72,Bachata,bar
640,10,Jazz,bar
641,14,Jazz,bar
642,143,Jazz,bar
643,132,Bachata,bar
644,160,Jazz,bar
645,187,Bachata,bar
646,23,Bachata,bar
647,108,Salsa,bar
648,186,Bachata,bar
649,14,Crossover,bar
650,19,Crossover,bar
651,83,Jazz,bar
652,195,Bachata,bar
653,53,Bachata,bar
654,186,Bachata,bar
655,182,Baladas,bar
656,140,Crossover,bar
657,68,Bachata,bar
658,175,Crossover,bar
659,14,Crossover,bar
660,65,Salsa,bar
661,86,Jazz,bar
662,180,Crossover,bar
663,111,Baladas,bar
664,166,Crossover,bar
665,82,Salsa,bar
666,118,Jazz,bar
667,40,Jazz,bar
668,175,Salsa,bar
669,33,Crossover,bar
670,92,Crossover,bar
671,105,Jazz,bar
672,42,Salsa,bar
673,177,Jazz,bar
674,19,Jazz,bar
675,182,Crossover,bar
676,48,Bachata,bar
677,43,Bachata,bar
678,15,Jazz,bar
679,67,Salsa,bar
680,62,Salsa,bar
681,53,Bachata,bar
682,115,Salsa,bar
683,119,Bachata,bar
684,89,Salsa,bar
685,142,Crossover,bar
686,197,Jazz,bar
687,21,Baladas,bar
688,89,Salsa,bar
689,117,Salsa,bar
690,20,Crossover,bar
691,157,Bachata,bar
692,53,Baladas,bar
693,69,Baladas,bar
694,59,Baladas,bar
695,84,Crossover,bar
696,123,Salsa,bar
697,165,Jazz,bar
698,70,Crossover,bar
699,61,Jazz,bar
700,116,Salsa,bar
701,75,Bachata,bar
702,174,Salsa,bar
703,122,Bachata,bar
704,195,Baladas,bar
705,190,Crossover,bar
706,27,Baladas,bar
707,93,Baladas,bar
708,66,Crossover,bar
709,109,Salsa,bar
710,125,Salsa,bar
711,192,Crossover,bar
712,139,Baladas,bar
713,199,Baladas,bar
714,172,Crossover,bar
715,174,Baladas,bar
716,170,Jazz,bar
717,103,Baladas,bar
718,72,Jazz,bar
719,174,Salsa,bar
720,35,Salsa,bar
721,42,Salsa,bar
722,137,Salsa,bar
723,119,Crossover,bar
724,140,Salsa,bar
725,145,Bachata,bar
726,33,Jazz,bar
727,18,Bachata,bar
728,78,Crossover,bar
729,63,Crossover,bar
730,58,Salsa,bar
731,167,Jazz,bar
732,33,Crossover,bar
733,196,Salsa,bar
734,15,Crossover,bar
735,156,Crossover,bar
736,84,Bachata,bar
737,181,Crossover,bar
738,12,Salsa,bar
739,152,Bachata,bar
740,154,Jazz,bar
741,108,Baladas,bar
742,128,Jazz,bar
743,49,Jazz,bar
744,10,Salsa,bar
745,108,Jazz,bar
746,131,Salsa,bar
747,116,Baladas,bar
748,182,Salsa,bar
749,103,Salsa,bar
750,176,Jazz,bar
751,186,Salsa,bar
752,79,Bachata,bar
753,26,Salsa,bar
754,179,Salsa,bar
755,57,Salsa,bar
756,20,Crossover,bar
757,71,Jazz,bar
758,189,Baladas,bar
759,114,Baladas,bar
760,45,Bachata,bar
761,180,Baladas,bar
762,67,Crossover,bar
763,110,Salsa,bar
764,158,Baladas,bar
765,138,Jazz,bar
766,110,Crossover,bar
767,104,Crossover,bar
768,176,Bachata,bar
769,123,Crossover,bar
770,61,Bachata,bar
771,86,Baladas,bar
772,59,Jazz,bar
773,138,Jazz,bar
774,44,Baladas,bar
775,82,Crossover,bar
776,67,Jazz,bar
777,180,Baladas,bar
778,161,Crossover,bar
779,52,Baladas,bar
780,138,Bachata,bar
781,123,Baladas,bar
782,132,Salsa,bar
783,140,Bachata,bar
784,85,Crossover,bar
785,32,Baladas,bar
786,66,Salsa,bar
787,34,Bachata,bar
788,30,Bachata,bar
789,118,Baladas,bar
790,59,Bachata,bar
791,38,Jazz,bar
792,118,Salsa,bar
793,198,Jazz,bar
794,92,Baladas,bar
795,119,Baladas,bar
796,39,Jazz,bar
797,67,Crossover,bar
798,75,Jazz,bar
799,75,Crossover,bar
800,115,Baladas,bar
801,122,Baladas,bar
802,87,Crossover,bar
803,196,Crossover,bar
804,21,Jazz,bar
805,194,Baladas,bar
806,86,Bachata,bar
807,155,Bachata,bar
808,43,Bachata,bar
809,184,Salsa,bar
810,10,Bachata,bar
811,140,Salsa,bar
812,183,Jazz,bar
813,63,Crossover,bar
814,17,Jazz,bar
815,192,Crossover,bar
816,124,Jazz,bar
817,68,Jazz,bar
818,72,Bachata,bar
819,95,Bachata,bar
820,98,Jazz,bar
821,192,Salsa,bar
822,185,Crossover,bar
823,143,Jazz,bar
824,150,Crossover,bar
825,130,Crossover,bar
826,198,Baladas,bar
827,87,Jazz,bar
828,58,Salsa,bar
829,139,Baladas,bar
830,39,Bachata,bar
831,102,Crossover,bar
832,174,Crossover,bar
833,95,Crossover,bar
834,198,Crossover,bar
835,156,Jazz,bar
836,61,Baladas,bar
837,162,Jazz,bar
838,16,Salsa,bar
839,33,Bachata,bar
840,83,Baladas,bar
841,151,Crossover,bar
842,143,Baladas,bar
843,57,Salsa,bar
844,170,Jazz,bar
845,111,Bachata,bar
846,131,Bachata,bar
847,67,Salsa,bar
848,115,Crossover,bar
849,96,Crossover,bar
850,194,Bachata,bar
851,28,Baladas,bar
852,57,Baladas,bar
853,31,Bachata,bar
854,63,Baladas,bar
855,40,Salsa,bar
856,143,Salsa,bar
857,184,Crossover,bar
858,33,Baladas,bar
859,153,Salsa,bar
860,117,Bachata,bar
861,50,Jazz,bar
862,168,Bachata,bar
863,96,Crossover,bar
864,31,Baladas,bar
865,124,Baladas,bar
866,171,Salsa,bar
867,70,Salsa,bar
868,10,Baladas,bar
869,35,Crossover,bar
870,148,Baladas,bar
871,42,Bachata,bar
872,115,Bachata,bar
873,137,Crossover,bar
874,92,Jazz,bar
875,107,Bachata,bar
876,50,Bachata,bar
877,186,Salsa,bar
878,57,Jazz,bar
879,32,Baladas,bar
880,82,Baladas,bar
881,81,Bachata,bar
882,13,Baladas,bar
883,58,Crossover,bar
884,63,Salsa,bar
885,78,Baladas,bar
886,134,Bachata,bar
887,118,Salsa,bar
888,80,Salsa,bar
889,189,Jazz,bar
890,150,Crossover,bar
891,195,Baladas,bar
892,160,Salsa,bar
893,16,Baladas,bar
894,164,Salsa,bar
895,83,Jazz,bar
896,48,Bachata,bar
897,20,Salsa,bar
898,176,Jazz,bar
899,105,Jazz,bar
900,120,Jazz,bar
901,114,Jazz,bar
902,14,Crossover,bar
903,87,Crossover,bar
904,139,Crossover,bar
905,136,Jazz,bar
906,12,Jazz,bar
907,129,Salsa,bar
908,80,Jazz,bar
909,108,Salsa,bar
910,144,Baladas,bar
911,123,Bachata,bar
912,125,Bachata,bar
913,97,Bachata,bar
914,71,Baladas,bar
915,148,Salsa,bar
916,182,Crossover,bar
917,149,Bachata,bar
918,79,Salsa,bar
919,38,Baladas,bar
920,159,Salsa,bar
921,86,Baladas,bar
922,82,Crossover,bar
923,13,Bachata,bar
924,182,Salsa,bar
925,102,Jazz,bar
926,39,Baladas,bar
927,87,Baladas,bar
928,97,Baladas,bar
929,58,Bachata,bar
930,25,Jazz,bar
931,64,Baladas,bar
932,156,Bachata,bar
933,77,Jazz,bar
934,197,Baladas,bar
935,30,Bachata,bar
936,101,Jazz,bar
937,42,Bachata,bar
938,132,Jazz,bar
939,160,Salsa,bar
940,118,Bachata,bar
941,34,Baladas,bar
942,51,Crossover,bar
943,84,Baladas,bar
944,41,Bachata,bar
945,133,Baladas,bar
946,65,Jazz,bar
947,89,Crossover,bar
948,47,Salsa,bar
949,65,Crossover,bar
950,31,Crossover,bar
951,179,Salsa,bar
952,90,Salsa,bar
953,12,Baladas,bar
954,90,Bachata,bar
955,151,Jazz,bar
956,148,Crossover,bar
957,189,Jazz,bar
958,132,Crossover,bar
959,178,Bachata,bar
960,138,Bachata,bar
961,119,Salsa,bar
962,96,Salsa,bar
963,53,Crossover,bar
964,163,Salsa,bar
965,131,Jazz,bar
966,155,Baladas,bar
967,112,Crossover,bar
968,27,Bachata,bar
969,107,Jazz,bar
970,85,Jazz,bar
971,28,Bachata,bar
972,114,Bachata,bar
973,116,Baladas,bar
974,52,Bachata,bar
975,60,Baladas,bar
976,107,Salsa,bar
977,169,Bachata,bar
978,142,Baladas,bar
979,170,Crossover,bar
980,183,Bachata,bar
981,16,Crossover,bar
982,86,Jazz,bar
983,35,Jazz,bar
984,182,Bachata,bar
985,125,Jazz,bar
986,55,Salsa,bar
987,11,Baladas,bar
988,37,Baladas,bar
989,93,Salsa,bar
990,45,Crossover,bar
991,118,Baladas,bar
992,173,Crossover,bar
993,189,Jazz,bar
994,166,Jazz,bar
995,146,Salsa,bar
996,57,Baladas,bar
997,124,Salsa,bar
998,101,Crossover,bar
999,106,Crossover,bar
1000,120,Jazz,bar
1001,14,Salsa,bar
1002,60,Crossover,bar
1003,58,Bachata,bar
1004,185,Crossover,bar
1005,112,Jazz,bar
1006,182,Jazz,bar
1007,27,Crossover,bar
1008,18,Jazz,bar
1009,179,Salsa,bar
1010,104,Jazz,bar
1011,109,Bachata,bar
1012,66,Baladas,bar
1013,122,Baladas,bar
1014,157,Bachata,bar
1015,124,Salsa,bar
1016,68,Baladas,bar
1017,139,Salsa,bar
1018,165,Jazz,bar
1019,77,Salsa,bar
1020,113,Crossover,bar
1021,156,Salsa,bar
1022,163,Salsa,bar
1023,21,Bachata,bar
1024,155,Jazz,bar
1025,118,Baladas,bar
1026,171,Bachata,bar
1027,82,Jazz,bar
1028,49,Jazz,bar
1029,72,Jazz,bar
1030,100,Baladas,bar
1031,32,Baladas,bar
1032,106,Crossover,bar
1033,11,Bachata,bar
1034,39,Crossover,bar
1035,13,Jazz,bar
1036,132,Bachata,bar
1037,57,Salsa,bar
1038,45,Jazz,bar
1039,94,Bachata,bar
1040,199,Bachata,bar
1041,195,Baladas,bar
1042,42,Baladas,bar
1043,131,Crossover,bar
1044,41,Jazz,bar
1045,193,Baladas,bar
1046,146,Crossover,bar
1047,109,Jazz,bar
1048,156,Jazz,bar
1049,42,Jazz,bar
1050,86,Baladas,bar
1051,97,Salsa,bar
1052,19,Bachata,bar
1053,30,Crossover,bar
1054,59,Salsa,bar
1055,127,Jazz,bar
1056,158,Bachata,bar
1057,144,Crossover,bar
1058,124,Salsa,bar
1059,14,Bachata,bar
1060,61,Crossover,bar
1061,114,Jazz,bar
1062,109,Jazz,bar
1063,108,Baladas,bar
1064,142,Bachata,bar
1065,38,Salsa,bar
1066,91,Jazz,bar
1067,17,Jazz,bar
1068,132,Crossover,bar
1069,133,Bachata,bar
1070,109,Crossover,bar
1071,169,Salsa,bar
1072,34,Crossover,bar
1073,104,Salsa,bar
1074,81,Baladas,bar
1075,120,Jazz,bar
1076,32,Jazz,bar
1077,115,Crossover,bar
1078,51,Crossover,bar
1079,117,Salsa,bar
1080,104,Jazz,bar
1081,80,Baladas,bar
1082,17,Salsa,bar
1083,57,Bachata,bar
1084,17,Bachata,bar
1085,194,Baladas,bar
1086,152,Jazz,bar
1087,63,Crossover,bar
1088,121,Bachata,bar
1089,175,Salsa,bar
1090,93,Crossover,bar
1091,185,Crossover,bar
1092,185,Jazz,bar
1093,52,Crossover,bar
1094,49,Salsa,bar
1095,58,Jazz,bar
1096,118,Baladas,bar
1097,62,Baladas,bar
1098,59,Jazz,bar
1099,82,Baladas,bar
1100,49,Crossover,bar
1101,146,Bachata,bar
1102,48,Baladas,bar
1103,11,Salsa,bar
1104,28,Bachata,bar
1105,58,Baladas,bar
1106,121,Crossover,bar
1107,152,Salsa,bar
1108,36,Crossover,bar
1109,142,Salsa,bar
1110,129,Jazz,bar
1111,87,Baladas,bar
1112,196,Baladas,bar
1113,82,Crossover,bar
1114,73,Bachata,bar
1115,182,Salsa,bar
1116,23,Jazz,bar
1117,53,Bachata,bar
1118,144,Crossover,bar
1119,16,Crossover,bar
1120,175,Bachata,bar
1121,125,Bachata,bar
1122,87,Crossover,bar
1123,116,Baladas,bar
1124,63,Baladas,bar
1125,34,Crossover,bar
1126,12,Salsa,bar
1127,89,Bachata,bar
1128,144,Baladas,bar
1129,48,Jazz,bar
1130,192,Bachata,bar
1131,170,Baladas,bar
1132,132,Salsa,bar
1133,68,Crossover,bar
1134,102,Baladas,bar
1135,48,Crossover,bar
1136,18,Jazz,bar
1137,194,Jazz,bar
1138,45,Bachata,bar
1139,180,Baladas,bar
1140,23,Salsa,bar
1141,95,Salsa,bar
1142,103,Salsa,bar
1143,107,Bachata,bar
1144,53,Salsa,bar
1145,135,Jazz,bar
1146,62,Baladas,bar
1147,85,Crossover,bar
1148,139,Crossover,bar
1149,53,Jazz,bar
1150,161,Crossover,bar
